Wall time,Step,Value
1683986069.0509725,0,0.0981999933719635
1683986225.8535228,4220,0.34310001134872437
1683986384.1170962,8440,0.39739999175071716
1683986541.9372373,12660,0.4212999939918518
1683986699.890429,16880,0.44700002670288086
1683986856.5520234,21100,0.4594000279903412
1683987014.1544006,25320,0.4529999792575836
1683987171.0432234,29540,0.4803999960422516
1683987328.5718443,33760,0.4765999913215637
1683987486.1538286,37980,0.4913000166416168
1683987644.5491912,42200,0.5033999681472778
1683987801.8837402,46420,0.5126999616622925
1683987958.5635355,50640,0.5185999870300293
1683988116.5109282,54860,0.5220999717712402
1683988273.4615557,59080,0.5166999697685242
1683988432.105158,63300,0.5398000478744507
1683988588.9699237,67520,0.5328999757766724
1683988744.269587,71740,0.533799946308136
1683988901.937162,75960,0.5330000519752502
1683989058.5755384,80180,0.5368000268936157
1683989215.8516188,84400,0.5417999625205994
1683989372.5771916,88620,0.5405000448226929
1683989529.4742439,92840,0.5430999994277954
1683989687.677507,97060,0.5544000267982483
1683989844.628505,101280,0.5432000160217285
1683990001.6134517,105500,0.5438999533653259
1683990158.5746493,109720,0.5396999716758728
1683990316.127449,113940,0.5407000184059143
1683990473.2561438,118160,0.5296000242233276
1683990630.3969824,122380,0.5346999764442444
