Wall time,Step,Value
1683965240.154942,0,0.09769999980926514
1683965411.9124422,4220,0.22580000758171082
1683965581.7036855,8440,0.3308999836444855
1683965752.6812963,12660,0.3831000328063965
1683965923.502493,16880,0.41449999809265137
1683966093.5857174,21100,0.44519996643066406
1683966263.8072176,25320,0.45420002937316895
1683966433.1090868,29540,0.4749000072479248
1683966603.6533003,33760,0.50409996509552
1683966773.950668,37980,0.5026999711990356
1683966943.837345,42200,0.5187000036239624
1683967114.1636302,46420,0.5173999667167664
1683967283.7551289,50640,0.5295999646186829
1683967454.0709348,54860,0.536300003528595
1683967624.6999776,59080,0.5332000255584717
1683967793.6952379,63300,0.5447999835014343
1683967964.1015022,67520,0.5424000024795532
1683968133.7598848,71740,0.5472999811172485
1683968302.5915737,75960,0.5543000102043152
1683968473.3478284,80180,0.5626000165939331
1683968643.8251367,84400,0.5636999607086182
1683968814.5103843,88620,0.5666999816894531
1683968985.4884546,92840,0.5563000440597534
1683969154.6535685,97060,0.5702999830245972
1683969323.4983609,101280,0.5670000314712524
1683969494.3450077,105500,0.5664999485015869
1683969665.035094,109720,0.5619000196456909
1683969834.6981068,113940,0.5684000253677368
1683970004.923432,118160,0.5620999932289124
1683970175.040956,122380,0.5577000379562378
