Wall time,Step,Value
1683837931.222273,0,0.10439999401569366
1683838833.3509483,4220,0.39010003209114075
1683839722.3885145,8440,0.4416999816894531
1683840622.6431775,12660,0.4700999855995178
1683841521.1502907,16880,0.47429996728897095
1683842423.9397001,21100,0.47929996252059937
1683843354.544547,25320,0.4853999614715576
1683844274.79228,29540,0.4887999892234802
1683845201.8929744,33760,0.4948999881744385
1683846124.4345484,37980,0.49149999022483826
1683847042.8088458,42200,0.5078999996185303
1683847945.7291958,46420,0.5049999952316284
1683848848.1630113,50640,0.5058000087738037
1683849757.8518035,54860,0.5085999965667725
1683850683.2604835,59080,0.5059000253677368
1683851579.9277823,63300,0.5001000165939331
1683852495.9887757,67520,0.4975999891757965
1683853414.5248213,71740,0.5018999576568604
1683854332.6160886,75960,0.5
1683855247.549379,80180,0.4980999529361725
1683856165.6323743,84400,0.5004000067710876
1683857086.6946447,88620,0.507099986076355
1683858032.364706,92840,0.512499988079071
1683858966.6430404,97060,0.5050999522209167
1683859899.6060836,101280,0.5026999711990356
1683860822.6544611,105500,0.5054999589920044
1683861733.0690405,109720,0.4945000112056732
1683862651.3620987,113940,0.49790000915527344
1683863558.2366312,118160,0.5063999891281128
1683864467.910251,122380,0.5069999694824219
