Wall time,Step,Value
1684024175.0119193,0,0.09969998896121979
1684024342.6064959,4220,0.2578999996185303
1684024516.4926198,8440,0.3781999945640564
1684024689.4683266,12660,0.4180000424385071
1684024862.0298455,16880,0.4560999274253845
1684025036.4018576,21100,0.4720999598503113
1684025209.5747359,25320,0.48170000314712524
1684025382.0722353,29540,0.4935999810695648
1684025553.7512314,33760,0.5082000494003296
1684025722.2485633,37980,0.5205000638961792
1684025889.0651748,42200,0.526699960231781
1684026059.698609,46420,0.5257999897003174
1684026231.2823386,50640,0.5328999757766724
1684026402.6985352,54860,0.5350000262260437
