Wall time,Step,Value
1683924088.4721963,0,0.1454000025987625
1683924586.5872197,4220,0.3828999996185303
1683925090.8245997,8440,0.7013999819755554
1683925593.2802367,12660,0.7281000018119812
1683926100.2090027,16880,0.7376000285148621
1683926603.0205498,21100,0.7547000050544739
1683927111.013903,25320,0.7771000266075134
1683927617.9276857,29540,0.7868000268936157
1683928133.3778474,33760,0.7863999605178833
1683928639.1585295,37980,0.7907999753952026
1683929157.7454169,42200,0.8062999844551086
1683929677.315775,46420,0.798799991607666
1683930188.577801,50640,0.8122000694274902
1683930695.9117217,54860,0.8215999603271484
1683931211.6865523,59080,0.8222000002861023
1683931725.2488492,63300,0.8114999532699585
1683932239.8904371,67520,0.8105999827384949
1683932758.24471,71740,0.8027999997138977
1683933275.232284,75960,0.8159999847412109
1683933794.3675783,80180,0.80840003490448
1683934306.725227,84400,0.8008999824523926
1683934820.0032609,88620,0.8084999918937683
1683935344.0287945,92840,0.7998000383377075
1683935860.6761842,97060,0.8125
1683936373.9127884,101280,0.8012000322341919
1683936890.778774,105500,0.8138998746871948
1683937403.6084852,109720,0.8001999855041504
1683937922.7993736,113940,0.8033000230789185
1683938438.598774,118160,0.7980999946594238
1683938964.2970188,122380,0.7886000275611877
