Wall time,Step,Value
1683993995.3344407,0,0.09559999406337738
1683994483.5334744,4220,0.3582000136375427
1683994971.4192517,8440,0.6820000410079956
1683995460.5920968,12660,0.7969000935554504
1683995950.6911764,16880,0.8363000154495239
1683996435.8720815,21100,0.8781999349594116
1683996924.1770222,25320,0.8837000131607056
1683997412.5810366,29540,0.8910999298095703
1683997900.2687175,33760,0.9096000790596008
1683998388.5940087,37980,0.9085000157356262
1683998876.8730016,42200,0.9204999804496765
1683999364.9927275,46420,0.9217999577522278
1683999852.7525258,50640,0.9126999974250793
1684000340.5144687,54860,0.9191999435424805
1684000828.7293103,59080,0.9194000363349915
1684001316.7590392,63300,0.9179999232292175
1684001805.0863593,67520,0.9210000038146973
1684002292.41055,71740,0.9311000108718872
1684002780.740803,75960,0.9232000112533569
1684003267.9167795,80180,0.9322999715805054
1684003755.5959983,84400,0.9271000623703003
1684004245.4882982,88620,0.9308000802993774
1684004732.8545668,92840,0.930899977684021
1684005222.1214194,97060,0.9279000163078308
1684005709.9577355,101280,0.928600013256073
1684006199.362982,105500,0.9340999722480774
1684006687.6669633,109720,0.9343999624252319
1684007175.8607368,113940,0.9376999735832214
1684007663.9175787,118160,0.9356999397277832
1684008153.0029993,122380,0.9369000196456909
