Wall time,Step,Value
1683944683.0994494,0,0.1015000119805336
1683945191.1318085,4220,0.6182000041007996
1683945700.415354,8440,0.7197999954223633
1683946211.79915,12660,0.7821000218391418
1683946719.1728773,16880,0.7956000566482544
1683947229.8037996,21100,0.8467000722885132
1683947739.3780668,25320,0.8579999208450317
1683948247.3390827,29540,0.8854999542236328
1683948757.1740117,33760,0.8916999697685242
1683949263.7064257,37980,0.9016000628471375
1683949773.2479384,42200,0.9067999720573425
1683950284.0513265,46420,0.9183000326156616
1683950782.6039608,50640,0.9194999933242798
1683951284.7405,54860,0.9255999326705933
1683951795.1924195,59080,0.9243000149726868
1683952305.9995885,63300,0.921700119972229
1683952818.5718408,67520,0.9286999702453613
1683953328.4640458,71740,0.925000011920929
1683953839.740192,75960,0.9320999979972839
1683954350.9676552,80180,0.9291000366210938
1683954858.1143503,84400,0.9333999752998352
1683955359.7539396,88620,0.9300000071525574
1683955872.9522805,92840,0.9321999549865723
1683956381.9571571,97060,0.9311000108718872
1683956878.6873894,101280,0.9312000274658203
1683957389.9810681,105500,0.9272000193595886
1683957901.2915564,109720,0.9392001032829285
1683958412.57166,113940,0.9284000396728516
1683958924.1189852,118160,0.9277000427246094
1683959429.9553163,122380,0.939799964427948
